size,mflop
31,3583.52
32,4784.79
96,5664.47
97,4586.83
127,4508.56
128,5828.73
129,4700.41
191,4434.32
192,5602.94
229,4415.51
255,4538
256,5562.93
257,4650.58
319,4418.71
320,5342.34
321,4471.22
417,4530.88
479,4524.22
480,5448.27
511,4544.74
512,5454.51
639,4570.32
640,5540.49
767,4593.41
768,5563.05
769,4582.46
1023,4438.66
1024,5439.57
1025,4300.65
1525,2483.35
1526,2724.62
1527,3059.71
