size,mflop
31,7045.31
32,7361.86
96,9023.06
97,8906.73
127,8972.57
128,9057.98
129,9048.66
191,9106.05
192,9436.84
229,9418.99
255,9222.94
256,9423.64
257,9345.48
319,9298.56
320,9506.95
321,9393.89
417,9774.26
479,9815.79
480,9787.72
511,9544.51
512,9721.43
639,9740.55
640,9783.73
767,9741.47
768,9819.72
769,9758.8
1023,9784.63
1024,9879.42
1025,9714.21
1525,9736.16
1526,9943.37
1527,9953.1
