size,mflop
31,15291.1
32,19198.2
96,28229.7
97,28156.2
127,26044.5
128,27929.1
129,27923.7
191,29220
192,31327.9
229,31435
255,30712.6
256,31229.3
257,29571.2
319,29589.8
320,31381.1
321,30515.8
417,30359.2
479,30452.9
480,31279.5
511,30836.8
512,31038.7
639,32291.2
640,33297.3
767,33136.7
768,33825.3
769,32170.2
1023,30816.2
1024,32849.6
1025,32573.2
1525,34672.6
1526,35369
1527,34424
