size,mflop
31,2603.38
32,3137.22
96,3854.36
97,3799.5
127,3768.9
128,1774.55
129,3914.54
191,3082.72
192,1805.05
229,2907.65
255,2935.59
256,842.003
257,3000.29
319,2946.47
320,1803.93
321,2983.72
417,3164.85
479,2498.25
480,1880.49
511,3038.11
512,819.543
639,1792.69
640,857.906
767,1815.49
768,848.637
769,1810
1023,1388.5
1024,668.865
1025,1500.28
1525,1452.66
1526,1365.58
1527,933.092
