size,mflop
31,1888.91
32,2397.11
96,2390.6
97,1989.66
127,2019.23
128,2220.54
129,1998.34
191,1969.2
192,2309.72
229,1948.02
255,1987.21
256,1733.28
257,1980.12
319,1897.71
320,2126.96
321,1893.33
417,1794.39
479,1693.06
480,1839.31
511,1825.48
512,1244.83
639,1716.4
640,1844.42
767,1787.98
768,1660.92
769,1754.39
1023,1822.65
1024,1206.49
1025,1858.47
1525,1703.49
1526,2006.99
1527,1622.71
